id,history_id,detector_id,user_value,user_error,"fit"
1,1,31,1,0,NULL
2,1,31,1,0,NULL
3,1,31,1,0,NULL
4,1,31,1,0,NULL
5,1,31,1,0,NULL
6,1,31,1,0,NULL
7,2,31,1,0,NULL
8,2,31,1,0,NULL
9,2,31,1,0,NULL
10,2,31,1,0,NULL
11,2,31,1,0,NULL
12,2,31,1,0,NULL
13,3,31,1,0,NULL
14,3,31,1,0,NULL
15,3,31,1,0,NULL
16,3,31,1,0,NULL
17,3,31,1,0,NULL
18,3,31,1,0,NULL
19,4,31,1,0,NULL
20,4,31,1,0,NULL
21,4,31,1,0,NULL
22,4,31,1,0,NULL
23,4,31,1,0,NULL
24,4,31,1,0,NULL
25,5,31,1,0,NULL
26,5,31,1,0,NULL
27,5,31,1,0,NULL
28,5,31,1,0,NULL
29,5,31,1,0,NULL
30,5,31,1,0,NULL
31,6,31,1,0,NULL
32,6,31,1,0,NULL
33,6,31,1,0,NULL
34,6,31,1,0,NULL
35,6,31,1,0,NULL
36,6,31,1,0,NULL
37,7,31,1,0,NULL
38,7,31,1,0,NULL
39,7,31,1,0,NULL
40,7,31,1,0,NULL
41,7,31,1,0,NULL
42,7,31,1,0,NULL
43,8,31,1,0,NULL
44,8,31,1,0,NULL
45,8,31,1,0,NULL
46,8,31,1,0,NULL
47,8,31,1,0,NULL
48,8,31,1,0,NULL
49,9,31,1,0,NULL
50,9,31,1,0,NULL
51,9,31,1,0,NULL
52,9,31,1,0,NULL
53,9,31,1,0,NULL
54,9,31,1,0,NULL
55,10,31,1,0,NULL
56,10,31,1,0,NULL
57,10,31,1,0,NULL
58,10,31,1,0,NULL
59,10,31,1,0,NULL
60,10,31,1,0,NULL
61,11,31,1,0,NULL
62,11,31,1,0,NULL
63,11,31,1,0,NULL
64,11,31,1,0,NULL
65,11,31,1,0,NULL
66,11,31,1,0,NULL
67,12,31,1,0,NULL
68,12,31,1,0,NULL
69,12,31,1,0,NULL
70,12,31,1,0,NULL
71,12,31,1,0,NULL
72,12,31,1,0,NULL
73,13,31,1,0,NULL
74,13,31,1,0,NULL
75,13,31,1,0,NULL
76,13,31,1,0,NULL
77,13,31,1,0,NULL
78,13,31,1,0,NULL
79,14,31,1,0,NULL
80,14,31,1,0,NULL
81,14,31,1,0,NULL
82,14,31,1,0,NULL
83,14,31,1,0,NULL
84,14,31,1,0,NULL
85,15,31,1,0,NULL
86,15,31,1,0,NULL
87,15,31,1,0,NULL
88,15,31,1,0,NULL
89,15,31,1,0,NULL
90,15,31,1,0,NULL
91,16,31,1,0,NULL
92,16,31,1,0,NULL
93,16,31,1,0,NULL
94,16,31,1,0,NULL
95,16,31,1,0,NULL
96,16,31,1,0,NULL
97,17,31,1,0,NULL
98,17,31,1,0,NULL
99,17,31,1,0,NULL
100,17,31,1,0,NULL
101,17,31,1,0,NULL
102,17,31,1,0,NULL
103,18,31,1,0,NULL
104,18,31,1,0,NULL
105,18,31,1,0,NULL
106,18,31,1,0,NULL
107,18,31,1,0,NULL
108,18,31,1,0,NULL
109,19,31,1,0,NULL
110,19,31,1,0,NULL
111,19,31,1,0,NULL
112,19,31,1,0,NULL
113,19,31,1,0,NULL
114,19,31,1,0,NULL
115,20,31,1,0,NULL
116,20,31,1,0,NULL
117,20,31,1,0,NULL
118,20,31,1,0,NULL
119,20,31,1,0,NULL
120,20,31,1,0,NULL
121,21,31,1,0,NULL
122,21,31,1,0,NULL
123,21,31,1,0,NULL
124,21,31,1,0,NULL
125,21,31,1,0,NULL
126,21,31,1,0,NULL
127,22,31,1,0,NULL
128,22,31,1,0,NULL
129,22,31,1,0,NULL
130,22,31,1,0,NULL
131,22,31,1,0,NULL
132,22,31,1,0,NULL
133,23,31,1,0,NULL
134,23,31,1,0,NULL
135,23,31,1,0,NULL
136,23,31,1,0,NULL
137,23,31,1,0,NULL
138,23,31,1,0,NULL
139,24,31,1,0,NULL
140,24,31,1,0,NULL
141,24,31,1,0,NULL
142,24,31,1,0,NULL
143,24,31,1,0,NULL
144,24,31,1,0,NULL
145,25,31,1,0,NULL
146,25,31,1,0,NULL
147,25,31,1,0,NULL
148,25,31,1,0,NULL
149,25,31,1,0,NULL
150,25,31,1,0,NULL
151,26,31,1,0,NULL
152,26,31,1,0,NULL
153,26,31,1,0,NULL
154,26,31,1,0,NULL
155,26,31,1,0,NULL
156,26,31,1,0,NULL
157,27,31,1,0,NULL
158,27,31,1,0,NULL
159,27,31,1,0,NULL
160,27,31,1,0,NULL
161,27,31,1,0,NULL
162,27,31,1,0,NULL
163,28,31,1,0,NULL
164,28,31,1,0,NULL
165,28,31,1,0,NULL
166,28,31,1,0,NULL
167,28,31,1,0,NULL
168,28,31,1,0,NULL
169,29,31,1,0,NULL
170,29,31,1,0,NULL
171,29,31,1,0,NULL
172,29,31,1,0,NULL
173,29,31,1,0,NULL
174,29,31,1,0,NULL
175,30,31,1,0,NULL
176,30,31,1,0,NULL
177,30,31,1,0,NULL
178,30,31,1,0,NULL
179,30,31,1,0,NULL
180,30,31,1,0,NULL
181,31,31,1,0,NULL
182,31,31,1,0,NULL
183,31,31,1,0,NULL
184,31,31,1,0,NULL
185,31,31,1,0,NULL
186,31,31,1,0,NULL
187,32,31,1,0,NULL
188,32,31,1,0,NULL
189,32,31,1,0,NULL
190,32,31,1,0,NULL
191,32,31,1,0,NULL
192,32,31,1,0,NULL
193,33,31,1,0,NULL
194,33,31,1,0,NULL
195,33,31,1,0,NULL
196,33,31,1,0,NULL
197,33,31,1,0,NULL
198,33,31,1,0,NULL
199,34,31,1,0,NULL
200,34,31,1,0,NULL
201,34,31,1,0,NULL
202,34,31,1,0,NULL
203,34,31,1,0,NULL
204,34,31,1,0,NULL
205,35,31,1,0,NULL
206,35,31,1,0,NULL
207,35,31,1,0,NULL
208,35,31,1,0,NULL
209,35,31,1,0,NULL
210,35,31,1,0,NULL
211,36,31,1,0,NULL
212,36,31,1,0,NULL
213,36,31,1,0,NULL
214,36,31,1,0,NULL
215,36,31,1,0,NULL
216,36,31,1,0,NULL
217,37,31,1,0,NULL
218,37,31,1,0,NULL
219,37,31,1,0,NULL
220,37,31,1,0,NULL
221,37,31,1,0,NULL
222,37,31,1,0,NULL
223,38,31,1,0,NULL
224,38,31,1,0,NULL
225,38,31,1,0,NULL
226,39,31,1,0,NULL
227,39,31,1,0,NULL
228,39,31,1,0,NULL
229,39,31,1,0,NULL
230,39,31,1,0,NULL
231,39,31,1,0,NULL
232,40,31,1,0,NULL
233,40,31,1,0,NULL
234,40,31,1,0,NULL
