id,level_id,position,weight
320,25,5,NULL
321,25,7,NULL
322,25,8,NULL
323,25,9,NULL
324,25,10,NULL
325,25,11,NULL
326,25,12,NULL
327,26,2,NULL
328,26,4,NULL
329,26,6,NULL
330,26,8,NULL
331,26,10,NULL
332,26,12,NULL
333,26,14,NULL
334,26,16,NULL
335,26,18,NULL
336,26,20,NULL
337,26,1,NULL
338,26,3,NULL
339,26,5,NULL
340,26,7,NULL
341,26,9,NULL
342,26,11,NULL
343,26,13,NULL
344,26,15,NULL
345,26,17,NULL
346,26,19,NULL
