id,history_id,disc,disc_error,detector_id
228,228,1.004,0.001,31
229,229,1.004,0.001,31
230,230,1.004,0.001,31
231,231,1.004,0.001,31
232,232,1.004,0.001,31
233,233,1.004,0.001,31
234,234,1.004,0.001,31
235,235,1.004,0.001,31
236,236,1.004,0.001,31
237,237,1.004,0.001,31
238,238,1.004,0.001,31
239,239,1.004,0.001,31
240,240,1.004,0.001,31
241,241,1.004,0.001,31
242,242,1.004,0.001,31
243,243,1.004,0.001,31
244,244,1.004,0.001,31
245,245,1.004,0.001,31
246,246,1.004,0.001,31
247,247,1.004,0.001,31
248,248,1.004,0.001,31
249,249,1.004,0.001,31
250,250,1.004,0.001,31
251,251,1.004,0.001,31
252,252,1.004,0.001,31
253,253,1.004,0.001,31
254,254,1.004,0.001,31
255,255,1.004,0.001,31
256,256,1.004,0.001,31
257,257,1.004,0.001,31
258,258,1.004,0.001,31
259,259,1.004,0.001,31
260,260,1.004,0.001,31
261,261,1.004,0.001,31
262,262,1.004,0.001,31
263,263,1.004,0.001,31
264,264,1.004,0.001,31
265,265,1.004,0.001,31
266,266,1.004,0.001,31
267,267,1.004,0.001,31
268,268,1.004,0.001,31
269,269,1.004,0.001,31
270,270,1.004,0.001,31
271,271,1.004,0.001,31
272,272,1.004,0.001,31
273,273,1.004,0.001,31
274,274,1.004,0.001,31
275,275,1.004,0.001,31
276,276,1.004,0.001,31
277,277,1.004,0.001,31
278,278,1.004,0.001,31
279,279,1.004,0.001,31
280,280,1.004,0.001,31
281,281,1.004,0.001,31
282,282,1.004,0.001,31
283,283,1.004,0.001,31
284,284,1.004,0.001,31
285,285,1.004,0.001,31
286,286,1.004,0.001,31
287,287,1.004,0.001,31
288,288,1.004,0.001,31
289,289,1.004,0.001,31
290,290,1.004,0.001,31
291,291,1.004,0.001,31
292,292,1.004,0.001,31
293,293,1.004,0.001,31
294,294,1.004,0.001,31
295,295,1.004,0.001,31
296,296,1.004,0.001,31
297,297,1.004,0.001,31
298,298,1.004,0.001,31
299,299,1.004,0.001,31
300,300,1.004,0.001,31
301,301,1.004,0.001,31
302,302,1.004,0.001,31
303,303,1.004,0.001,31
304,304,1.004,0.001,31
305,305,1.004,0.001,31
306,306,1.004,0.001,31
307,307,1.004,0.001,31
308,308,1.004,0.001,31
309,309,1.004,0.001,31
310,310,1.004,0.001,31
311,311,1.004,0.001,31
312,312,1.004,0.001,31
313,313,1.004,0.001,31
314,314,1.004,0.001,31
315,315,1.004,0.001,31
316,316,1.004,0.001,31
317,317,1.004,0.001,31
318,318,1.004,0.001,31
319,319,1.004,0.001,31
320,320,1.004,0.001,31
321,321,1.004,0.001,31
322,322,1.004,0.001,31
323,323,1.004,0.001,31
324,324,1.004,0.001,31
325,325,1.004,0.001,31
326,326,1.004,0.001,31
327,327,1.004,0.001,31
328,328,1.004,0.001,31
329,329,1.004,0.001,31
330,330,1.004,0.001,31
331,331,1.004,0.001,31
332,332,1.004,0.001,31
333,333,1.004,0.001,31
334,334,1.004,0.001,31
335,335,1.004,0.001,31
336,336,1.004,0.001,31
337,337,1.004,0.001,31
338,338,1.004,0.001,31
339,339,1.004,0.001,31
340,340,1.004,0.001,31
341,341,1.004,0.001,31
342,342,1.004,0.001,31
343,343,1.004,0.001,31
344,344,1.004,0.001,31
345,345,1.004,0.001,31
346,346,1.004,0.001,31
347,347,1.004,0.001,31
348,348,1.004,0.001,31
349,349,1.004,0.001,31
350,350,1.004,0.001,31
351,351,1.004,0.001,31
352,352,1.004,0.001,31
353,353,1.004,0.001,31
354,354,1.004,0.001,31
355,355,1.004,0.001,31
356,356,1.004,0.001,31
357,357,1.004,0.001,31
358,358,1.004,0.001,31
359,359,1.004,0.001,31
360,360,1.004,0.001,31
361,361,1.004,0.001,31
362,362,1.004,0.001,31
363,363,1.004,0.001,31
364,364,1.004,0.001,31
365,365,1.004,0.001,31
366,366,1.004,0.001,31
367,367,1.004,0.001,31
368,368,1.004,0.001,31
369,369,1.004,0.001,31
370,370,1.004,0.001,31
371,371,1.004,0.001,31
372,372,1.004,0.001,31
373,373,1.004,0.001,31
374,374,1.004,0.001,31
375,375,1.004,0.001,31
376,376,1.004,0.001,31
377,377,1.004,0.001,31
378,378,1.004,0.001,31
379,379,1.004,0.001,31
380,380,1.004,0.001,31
381,381,1.004,0.001,31
382,382,1.004,0.001,31
383,383,1.004,0.001,31
384,384,1.004,0.001,31
385,385,1.004,0.001,31
386,386,1.004,0.001,31
387,387,1.004,0.001,31
388,388,1.004,0.001,31
389,389,1.004,0.001,31
390,390,1.004,0.001,31
391,391,1.004,0.001,31
392,392,1.004,0.001,31
393,393,1.004,0.001,31
394,394,1.004,0.001,31
395,395,1.004,0.001,31
396,396,1.004,0.001,31
397,397,1.004,0.001,31
398,398,1.004,0.001,31
399,399,1.004,0.001,31
400,400,1.004,0.001,31
401,401,1.004,0.001,31
402,402,1.004,0.001,31
403,403,1.004,0.001,31
404,404,1.004,0.001,31
405,405,1.004,0.001,31
406,406,1.004,0.001,31
407,407,1.004,0.001,31
408,408,1.004,0.001,31
409,409,1.004,0.001,31
410,410,1.004,0.001,31
411,411,1.004,0.001,31
412,412,1.004,0.001,31
413,413,1.004,0.001,31
414,414,1.004,0.001,31
415,415,1.004,0.001,31
416,416,1.004,0.001,31
417,417,1.004,0.001,31
418,418,1.004,0.001,31
419,419,1.004,0.001,31
420,420,1.004,0.001,31
421,421,1.004,0.001,31
422,422,1.004,0.001,31
423,423,1.004,0.001,31
424,424,1.004,0.001,31
425,425,1.004,0.001,31
426,426,1.004,0.001,31
427,427,1.004,0.001,31
428,428,1.004,0.001,31
429,429,1.004,0.001,31
430,430,1.004,0.001,31
431,431,1.004,0.001,31
432,432,1.004,0.001,31
433,433,1.004,0.001,31
434,434,1.004,0.001,31
435,435,1.004,0.001,31
436,436,1.004,0.001,31
437,437,1.004,0.001,31
438,438,1.004,0.001,31
439,439,1.004,0.001,31
440,440,1.004,0.001,31
441,441,1.004,0.001,31
442,442,1.004,0.001,31
443,443,1.004,0.001,31
444,444,1.004,0.001,31
445,445,1.004,0.001,31
446,446,1.004,0.001,31
447,447,1.004,0.001,31
448,448,1.004,0.001,31
449,449,1.004,0.001,31
450,450,1.004,0.001,31
451,451,1.004,0.001,31
452,452,1.004,0.001,31
453,453,1.004,0.001,31
454,454,1.004,0.001,31
455,455,1.004,0.001,31
456,456,1.004,0.001,31
457,457,1.004,0.001,31
458,458,1.004,0.001,31
459,459,1.004,0.001,31
460,460,1.004,0.001,31
461,461,1.004,0.001,31
462,462,1.004,0.001,31
463,463,1.004,0.001,31
464,464,1.004,0.001,31
465,465,1.004,0.001,31
466,466,1.004,0.001,31
467,467,1.004,0.001,31
468,468,1.004,0.001,31
469,469,1.004,0.001,31
470,470,1.004,0.001,31
471,471,1.004,0.001,31
472,472,1.004,0.001,31
473,473,1.004,0.001,31
474,474,1.004,0.001,31
475,475,1.004,0.001,31
476,476,1.004,0.001,31
477,477,1.004,0.001,31
478,478,1.004,0.001,31
479,479,1.004,0.001,31
480,480,1.004,0.001,31
481,481,1.004,0.001,31
482,482,1.004,0.001,31
483,483,1.004,0.001,31
484,484,1.004,0.001,31
485,485,1.004,0.001,31
486,486,1.004,0.001,31
487,487,1.004,0.001,31
488,488,1.004,0.001,31
489,489,1.004,0.001,31
490,490,1.004,0.001,31
491,491,1.004,0.001,31
492,492,1.004,0.001,31
493,493,1.004,0.001,31
494,494,1.004,0.001,31
495,495,1.004,0.001,31
496,496,1.004,0.001,31
497,497,1.004,0.001,31
498,498,1.004,0.001,31
499,499,1.004,0.001,31
500,500,1.004,0.001,31
501,501,1.004,0.001,31
502,502,1.004,0.001,31
503,503,1.004,0.001,31
504,504,1.004,0.001,31
505,505,1.004,0.001,31
506,506,1.004,0.001,31
507,507,1.004,0.001,31
508,508,1.004,0.001,31
509,509,1.004,0.001,31
510,510,1.004,0.001,31
511,511,1.004,0.001,31
512,512,1.004,0.001,31
513,513,1.004,0.001,31
514,514,1.004,0.001,31
515,515,1.004,0.001,31
516,516,1.004,0.001,31
517,517,1.004,0.001,31
518,518,1.004,0.001,31
519,519,1.004,0.001,31
520,520,1.004,0.001,31
521,521,1.004,0.001,31
522,522,1.004,0.001,31
523,523,1.004,0.001,31
524,524,1.004,0.001,31
525,525,1.004,0.001,31
526,526,1.004,0.001,31
527,527,1.004,0.001,31
528,528,1.004,0.001,31
529,529,1.004,0.001,31
530,530,1.004,0.001,31
531,531,1.004,0.001,31
532,532,1.004,0.001,31
533,533,1.004,0.001,31
534,534,1.004,0.001,31
535,535,1.004,0.001,31
536,536,1.004,0.001,31
537,537,1.004,0.001,31
538,538,1.004,0.001,31
539,539,1.004,0.001,31
540,540,1.004,0.001,31
541,541,1.004,0.001,31
542,542,1.004,0.001,31
543,543,1.004,0.001,31
544,544,1.004,0.001,31
545,545,1.004,0.001,31
546,546,1.004,0.001,31
547,547,1.004,0.001,31
548,548,1.004,0.001,31
549,549,1.004,0.001,31
550,550,1.004,0.001,31
551,551,1.004,0.001,31
552,552,1.004,0.001,31
553,553,1.004,0.001,31
554,554,1.004,0.001,31
555,555,1.004,0.001,31
556,556,1.004,0.001,31
557,557,1.004,0.001,31
558,558,1.004,0.001,31
559,559,1.004,0.001,31
560,560,1.004,0.001,31
561,561,1.004,0.001,31
562,562,1.004,0.001,31
563,563,1.004,0.001,31
564,564,1.004,0.001,31
565,565,1.004,0.001,31
566,566,1.004,0.001,31
567,567,1.004,0.001,31
568,568,1.004,0.001,31
569,569,1.004,0.001,31
570,570,1.004,0.001,31
571,571,1.004,0.001,31
572,572,1.004,0.001,31
573,573,1.004,0.001,31
574,574,1.004,0.001,31
575,575,1.004,0.001,31
576,576,1.004,0.001,31
577,577,1.004,0.001,31
578,578,1.004,0.001,31
579,579,1.004,0.001,31
580,580,1.004,0.001,31
581,581,1.004,0.001,31
582,582,1.004,0.001,31
583,583,1.004,0.001,31
584,584,1.004,0.001,31
585,585,1.004,0.001,31
586,586,1.004,0.001,31
587,587,1.004,0.001,31
588,588,1.004,0.001,31
589,589,1.004,0.001,31
590,590,1.004,0.001,31
591,591,1.004,0.001,31
592,592,1.004,0.001,31
593,593,1.004,0.001,31
594,594,1.004,0.001,31
595,595,1.004,0.001,31
596,596,1.004,0.001,31
597,597,1.004,0.001,31
598,598,1.004,0.001,31
599,599,1.004,0.001,31
600,600,1.004,0.001,31
601,601,1.004,0.001,31
602,602,1.004,0.001,31
603,603,1.004,0.001,31
604,604,1.004,0.001,31
605,605,1.004,0.001,31
606,606,1.004,0.001,31
607,607,1.004,0.001,31
608,608,1.004,0.001,31
609,609,1.004,0.001,31
610,610,1.004,0.001,31
611,611,1.004,0.001,31
612,612,1.004,0.001,31
613,613,1.004,0.001,31
614,614,1.004,0.001,31
615,615,1.004,0.001,31
616,616,1.004,0.001,31
617,617,1.004,0.001,31
618,618,1.004,0.001,31
619,619,1.004,0.001,31
620,620,1.004,0.001,31
621,621,1.004,0.001,31
622,622,1.004,0.001,31
623,623,1.004,0.001,31
624,624,1.004,0.001,31
625,625,1.004,0.001,31
626,626,1.004,0.001,31
627,627,1.004,0.001,31
628,628,1.004,0.001,31
629,629,1.004,0.001,31
630,630,1.004,0.001,31
631,631,1.004,0.001,31
632,632,1.004,0.001,31
633,633,1.004,0.001,31
634,634,1.004,0.001,31
635,635,1.004,0.001,31
636,636,1.004,0.001,31
637,637,1.004,0.001,31
638,638,1.004,0.001,31
639,639,1.004,0.001,31
640,640,1.004,0.001,31
641,641,1.004,0.001,31
642,642,1.004,0.001,31
643,643,1.004,0.001,31
644,644,1.004,0.001,31
645,645,1.004,0.001,31
646,646,1.004,0.001,31
647,647,1.004,0.001,31
648,648,1.004,0.001,31
649,649,1.004,0.001,31
650,650,1.004,0.001,31
651,651,1.004,0.001,31
652,652,1.004,0.001,31
653,653,1.004,0.001,31
654,654,1.004,0.001,31
655,655,1.004,0.001,31
656,656,1.004,0.001,31
657,657,1.004,0.001,31
658,658,1.004,0.001,31
659,659,1.004,0.001,31
660,660,1.004,0.001,31
661,661,1.004,0.001,31
662,662,1.004,0.001,31
663,663,1.004,0.001,31
664,664,1.004,0.001,31
665,665,1.004,0.001,31
666,666,1.004,0.001,31
667,667,1.004,0.001,31
668,668,1.004,0.001,31
669,669,1.004,0.001,31
670,670,1.004,0.001,31
671,671,1.004,0.001,31
672,672,1.004,0.001,31
673,673,1.004,0.001,31
674,674,1.004,0.001,31
675,675,1.004,0.001,31
676,676,1.004,0.001,31
677,677,1.004,0.001,31
678,678,1.004,0.001,31
679,679,1.004,0.001,31
680,680,1.004,0.001,31
681,681,1.004,0.001,31
682,682,1.004,0.001,31
683,683,1.004,0.001,31
684,684,1.004,0.001,31
685,685,1.004,0.001,31
686,686,1.004,0.001,31
