id,"create_date",analysis_id,"user"
125,"2014-01-15 11:00:05",1573,NULL
126,"2014-01-15 11:00:05",1574,NULL
127,"2014-01-15 11:00:05",1575,NULL
128,"2014-01-15 11:00:05",1581,NULL
129,"2014-01-15 11:00:05",1583,NULL
130,"2014-01-15 11:00:05",1584,NULL
131,"2014-01-15 11:00:05",1585,NULL
132,"2014-01-15 11:00:05",1586,NULL
133,"2014-01-15 11:00:05",1587,NULL
134,"2014-01-15 11:00:05",1589,NULL
135,"2014-01-15 11:00:05",1590,NULL
136,"2014-01-15 11:00:05",1592,NULL
137,"2014-01-15 11:00:05",1593,NULL
138,"2014-01-15 11:00:05",1598,NULL
139,"2014-01-15 11:00:05",1600,NULL
140,"2014-01-15 11:00:05",1604,NULL
141,"2014-01-15 11:00:05",1605,NULL
142,"2014-01-15 11:00:05",1607,NULL
143,"2014-01-15 11:00:05",1608,NULL
144,"2014-01-15 11:00:05",1610,NULL
145,"2014-01-15 11:00:05",1611,NULL
146,"2014-01-15 11:00:05",1612,NULL
147,"2014-01-15 11:00:05",1616,NULL
148,"2014-01-15 11:00:05",1619,NULL
149,"2014-01-15 11:00:05",1621,NULL
150,"2014-01-15 11:00:05",1622,NULL
151,"2014-01-15 11:00:05",1623,NULL
152,"2014-01-15 11:00:05",1624,NULL
153,"2014-01-15 11:00:05",1626,NULL
154,"2014-01-15 11:00:05",1627,NULL
155,"2014-01-15 11:00:05",1628,NULL
156,"2014-01-15 11:00:05",1629,NULL
157,"2014-01-15 11:00:05",1634,NULL
158,"2014-01-15 11:00:05",1636,NULL
159,"2014-01-15 11:00:05",1638,NULL
160,"2014-01-15 11:00:05",1639,NULL
161,"2014-01-15 11:00:05",1640,NULL
162,"2014-01-15 11:00:05",1641,NULL
163,"2014-01-15 11:00:05",1643,NULL
164,"2014-01-15 11:00:05",1644,NULL
165,"2014-01-15 11:00:05",1645,NULL
166,"2014-01-15 11:00:05",1646,NULL
167,"2014-01-15 11:00:06",1649,NULL
168,"2014-01-15 11:00:06",1651,NULL
169,"2014-01-15 11:00:06",1652,NULL
170,"2014-01-15 11:00:06",1653,NULL
171,"2014-01-15 11:00:06",1654,NULL
172,"2014-01-15 11:00:06",1655,NULL
173,"2014-01-15 11:00:06",1657,NULL
174,"2014-01-15 11:00:06",1658,NULL
175,"2014-01-15 11:00:06",1659,NULL
176,"2014-01-15 11:00:06",1660,NULL
177,"2014-01-15 11:00:06",1663,NULL
178,"2014-01-15 11:00:06",1716,NULL
179,"2014-01-15 11:00:06",1717,NULL
180,"2014-01-15 11:00:06",1718,NULL
181,"2014-01-15 11:00:06",1719,NULL
182,"2014-01-15 11:00:06",1721,NULL
183,"2014-01-15 11:00:06",1722,NULL
184,"2014-01-15 11:00:06",1723,NULL
185,"2014-01-15 11:00:06",1724,NULL
186,"2014-01-15 11:00:06",1726,NULL
187,"2014-01-15 11:00:06",1727,NULL
188,"2014-01-15 11:00:06",1728,NULL
189,"2014-01-15 11:00:06",1729,NULL
190,"2014-01-15 11:00:06",1731,NULL
191,"2014-01-15 11:00:06",1732,NULL
192,"2014-01-15 11:00:06",1733,NULL
193,"2014-01-15 11:00:06",1735,NULL
194,"2014-01-15 11:00:06",1736,NULL
195,"2014-01-15 11:00:06",1737,NULL
196,"2014-01-15 11:00:06",1738,NULL
197,"2014-01-15 11:00:06",1740,NULL
198,"2014-01-15 11:00:06",1741,NULL
199,"2014-01-15 11:00:06",1742,NULL
200,"2014-01-15 11:00:06",1743,NULL
201,"2014-01-15 11:00:06",1748,NULL
202,"2014-01-15 11:00:06",1750,NULL
203,"2014-01-15 11:00:06",1751,NULL
204,"2014-01-15 11:00:06",1752,NULL
205,"2014-01-15 11:00:06",1753,NULL
206,"2014-01-15 11:00:06",1754,NULL
207,"2014-01-15 11:00:06",1755,NULL
208,"2014-01-15 11:00:06",1757,NULL
209,"2014-01-15 11:00:06",1758,NULL
210,"2014-01-15 11:00:06",1759,NULL
211,"2014-01-15 11:00:06",1762,NULL
212,"2014-01-15 11:00:06",1763,NULL
213,"2014-01-15 11:00:06",1766,NULL
214,"2014-01-15 11:00:06",1769,NULL
215,"2014-01-15 11:00:06",1770,NULL
216,"2014-01-15 11:00:06",1771,NULL
217,"2014-01-15 11:00:06",1772,NULL
218,"2014-01-15 11:00:06",1773,NULL
