id,history_id,"age_kind",age,age_err,mswd,wtd_kca,wtd_kca_err
267,270,"Integrated",10.3427,10.3132,24.4515,0.176662,0.000634062
268,271,"Integrated",7.32452,7.31255,20.2705,0.0787346,0.000313465
269,272,"Plateau",8.88037,0.065213,1.17688,0.154547,0.000502825
270,273,"Plateau",9.61532,0.0589551,1.49354,0.0107358,0.000237489
271,274,"Integrated",9.1232,9.10059,3.4871,0.014795,0.000132686
272,275,"Plateau",6.20401,0.104642,1.39621,0.12056,0.000337241
273,276,"Plateau",8.64548,0.0423804,2.346,0.0492253,0.000501519
274,277,"Integrated",0.490783,0.493372,26.8604,0.195183,0.000656858
275,278,"Integrated",4.25455,4.2505,187.808,0.181343,0.000419903
276,279,"Plateau",8.72092,0.0587822,1.08269,0.111724,0.000376126
277,280,"Plateau",8.73523,0.0811714,0.551202,0.115001,0.000390584
278,281,"Plateau",9.9262,0.0417001,0.877502,0.118782,0.000461326
279,282,"Plateau",8.65458,0.112413,1.84158,0.105732,0.000408363
280,283,"Plateau",9.91011,0.062379,1.86165,0.116749,0.000358665
281,284,"Plateau",7.65509,0.0723353,0.650986,0.0977496,0.000241325
282,285,"Plateau",5.17681,0.0569252,2.84724,0.117677,0.000282181
283,286,"Integrated",9.81665,9.79112,13.6503,0.102247,0.000199713
284,287,"Plateau",9.61883,0.173803,2.12904,0.352488,0.000734598
285,288,"Plateau",7.66253,0.140306,3.3017,0.695882,0.00148037
286,289,"Integrated",4.22826,4.2255,64.5099,0.164735,0.000330343
287,290,"Plateau",5.54094,0.0561743,0.596668,0.466325,0.000816905
288,291,"Plateau",7.62513,0.171633,1.45127,0.223937,0.000460043
289,292,"Integrated",6.72244,6.71047,43.3919,0.295414,0.000612065
290,293,"Integrated",1.48223,1.48437,25.8235,0.28578,0.000620836
291,294,"Plateau",7.1808,0.103621,1.80314,0.512139,0.00105815
292,295,"Plateau",7.4839,0.0383422,2.27088,0.476424,0.000890667
293,296,"Plateau",7.32587,0.178683,3.59017,0.526236,0.00108457
294,297,"Plateau",2.02223,0.0215377,0.486185,1.74349,0.00674343
295,298,"Plateau",10.6294,0.101679,1.95914,1.1048,0.00225784
296,299,"Plateau",4.21718,0.102047,0.842242,0.287114,0.000630839
297,300,"Integrated",6.6869,6.67492,109.713,0.266012,0.00048618
298,301,"Plateau",9.83165,0.0778666,0.684817,0.227573,0.000498443
299,302,"Integrated",8.98799,8.96613,14.0771,0.465107,0.000944697
300,303,"Integrated",8.05169,8.03525,21.8392,0.284904,0.00109746
301,304,"Plateau",11.2148,0.471706,3.14471,0.534795,0.00297366
302,305,"Integrated",11.2516,11.221,8.85284,0.388371,0.00155177
303,306,"Plateau",9.33996,0.0316287,0.997558,0.253558,0.000909487
304,307,"Plateau",7.35068,0.076077,1.65908,0.0676708,0.000509138
305,308,"Plateau",7.43092,0.0790263,2.06161,0.267509,0.000998302
306,309,"Integrated",6.83055,6.8178,40.807,0.0916062,0.000542263
307,310,"Plateau",7.48971,0.108042,0.856953,0.0785249,0.000474168
308,311,"Plateau",5.31701,0.0760318,2.08333,0.384156,0.00143099
309,312,"Plateau",6.95269,0.141627,1.75977,0.240551,0.00151136
310,313,"Integrated",6.41688,6.40582,15.3009,0.201899,0.00121085
311,314,"Integrated",5.3427,5.3354,16.2748,0.34573,0.00144864
312,315,"Plateau",4.35897,0.25602,2.29321,0.0790774,0.000327655
313,316,"Plateau",4.83995,0.0851362,1.16865,0.0779437,0.000456297
314,317,"Plateau",7.34833,0.122922,0.632696,0.089064,0.000625557
315,318,"Plateau",6.85665,0.164678,0.565047,0.0489639,0.000434597
316,319,"Plateau",6.7432,0.23797,0.282202,0.31497,0.00117327
317,320,"Plateau",6.45586,0.165757,2.41537,0.283232,0.00118841
318,321,"Plateau",10.4574,0.0297877,1.99971,0.824485,0.00464508
319,322,"Plateau",9.66772,0.0160901,0.933764,1.93063,0.00988278
320,323,"Integrated",6.99976,6.98697,10.0645,0.441951,0.00247366
321,324,"Integrated",6.20586,6.19561,27.7645,0.214437,0.000987604
