id,history_id,user_value,user_error,use_set,"isotope","fit"
86,18,0.00920778,0.0000936383,NULL,"Ar40","preceding"
87,18,0.0000401774,0.00000634023,NULL,"Ar39","preceding"
88,18,0.0000169505,0.00000593046,NULL,"Ar38","preceding"
89,18,0.000292674,0.0000637982,NULL,"Ar37","preceding"
90,18,0.000111573,0.00000677306,NULL,"Ar36","preceding"
91,19,0.00838888,0.0000791123,NULL,"Ar40","preceding"
92,19,0.0000216678,0.00000787656,NULL,"Ar39","preceding"
93,19,0.0000212396,0.00000693444,NULL,"Ar38","preceding"
94,19,0.000132836,0.0000082921,NULL,"Ar37","preceding"
95,19,0.00010182,0.00000597044,NULL,"Ar36","preceding"
96,20,0.00838888,0.0000791123,NULL,"Ar40","preceding"
97,20,0.0000216678,0.00000787656,NULL,"Ar39","preceding"
98,20,0.0000212396,0.00000693444,NULL,"Ar38","preceding"
99,20,0.000132836,0.0000082921,NULL,"Ar37","preceding"
100,20,0.00010182,0.00000597044,NULL,"Ar36","preceding"
101,21,0.00838888,0.0000791123,NULL,"Ar40","preceding"
102,21,0.0000216678,0.00000787656,NULL,"Ar39","preceding"
103,21,0.0000212396,0.00000693444,NULL,"Ar38","preceding"
104,21,0.000132836,0.0000082921,NULL,"Ar37","preceding"
105,21,0.00010182,0.00000597044,NULL,"Ar36","preceding"
106,22,0.00838888,0.0000791123,NULL,"Ar40","preceding"
107,22,0.0000216678,0.00000787656,NULL,"Ar39","preceding"
108,22,0.0000212396,0.00000693444,NULL,"Ar38","preceding"
109,22,0.000132836,0.0000082921,NULL,"Ar37","preceding"
110,22,0.00010182,0.00000597044,NULL,"Ar36","preceding"
111,23,0.0117634,0.000113055,NULL,"Ar40","preceding"
112,23,0.000146084,0.000010688,NULL,"Ar39","preceding"
113,23,0.0000269056,0.00000876697,NULL,"Ar38","preceding"
114,23,0.000132841,0.0000081848,NULL,"Ar37","preceding"
115,23,0.0000873843,0.00000612663,NULL,"Ar36","preceding"
116,24,0.0117634,0.000113055,NULL,"Ar40","preceding"
117,24,0.000146084,0.000010688,NULL,"Ar39","preceding"
118,24,0.0000269056,0.00000876697,NULL,"Ar38","preceding"
119,24,0.000132841,0.0000081848,NULL,"Ar37","preceding"
120,24,0.0000873843,0.00000612663,NULL,"Ar36","preceding"
121,25,0.0117634,0.000113055,NULL,"Ar40","preceding"
122,25,0.000146084,0.000010688,NULL,"Ar39","preceding"
123,25,0.0000269056,0.00000876697,NULL,"Ar38","preceding"
124,25,0.000132841,0.0000081848,NULL,"Ar37","preceding"
125,25,0.0000873843,0.00000612663,NULL,"Ar36","preceding"
126,26,0.0117634,0.000113055,NULL,"Ar40","preceding"
127,26,0.000146084,0.000010688,NULL,"Ar39","preceding"
128,26,0.0000269056,0.00000876697,NULL,"Ar38","preceding"
129,26,0.000132841,0.0000081848,NULL,"Ar37","preceding"
130,26,0.0000873843,0.00000612663,NULL,"Ar36","preceding"
131,27,0.0152954,0.0000919444,NULL,"Ar40","preceding"
132,27,0.000324229,0.00000986786,NULL,"Ar39","preceding"
133,27,0.0000171487,0.00000760865,NULL,"Ar38","preceding"
134,27,0.000172737,0.000013116,NULL,"Ar37","preceding"
135,27,0.000127611,0.00000654773,NULL,"Ar36","preceding"
136,28,0.0152954,0.0000919444,NULL,"Ar40","preceding"
137,28,0.000324229,0.00000986786,NULL,"Ar39","preceding"
138,28,0.0000171487,0.00000760865,NULL,"Ar38","preceding"
139,28,0.000172737,0.000013116,NULL,"Ar37","preceding"
140,28,0.000127611,0.00000654773,NULL,"Ar36","preceding"
141,29,0.0152954,0.0000919444,NULL,"Ar40","preceding"
142,29,0.000324229,0.00000986786,NULL,"Ar39","preceding"
143,29,0.0000171487,0.00000760865,NULL,"Ar38","preceding"
144,29,0.000172737,0.000013116,NULL,"Ar37","preceding"
145,29,0.000127611,0.00000654773,NULL,"Ar36","preceding"
146,30,0.0152954,0.0000919444,NULL,"Ar40","preceding"
147,30,0.000324229,0.00000986786,NULL,"Ar39","preceding"
148,30,0.0000171487,0.00000760865,NULL,"Ar38","preceding"
149,30,0.000172737,0.000013116,NULL,"Ar37","preceding"
150,30,0.000127611,0.00000654773,NULL,"Ar36","preceding"
151,31,0.0152954,0.0000919444,NULL,"Ar40","preceding"
152,31,0.000324229,0.00000986786,NULL,"Ar39","preceding"
153,31,0.0000171487,0.00000760865,NULL,"Ar38","preceding"
154,31,0.000172737,0.000013116,NULL,"Ar37","preceding"
155,31,0.000127611,0.00000654773,NULL,"Ar36","preceding"
156,32,0.0152954,0.0000919444,NULL,"Ar40","preceding"
157,32,0.000324229,0.00000986786,NULL,"Ar39","preceding"
158,32,0.0000171487,0.00000760865,NULL,"Ar38","preceding"
159,32,0.000172737,0.000013116,NULL,"Ar37","preceding"
160,32,0.000127611,0.00000654773,NULL,"Ar36","preceding"
161,33,0.0152954,0.0000919444,NULL,"Ar40","preceding"
162,33,0.000324229,0.00000986786,NULL,"Ar39","preceding"
163,33,0.0000171487,0.00000760865,NULL,"Ar38","preceding"
164,33,0.000172737,0.000013116,NULL,"Ar37","preceding"
165,33,0.000127611,0.00000654773,NULL,"Ar36","preceding"
166,34,0.0152954,0.0000919444,NULL,"Ar40","preceding"
167,34,0.000324229,0.00000986786,NULL,"Ar39","preceding"
168,34,0.0000171487,0.00000760865,NULL,"Ar38","preceding"
169,34,0.000172737,0.000013116,NULL,"Ar37","preceding"
170,34,0.000127611,0.00000654773,NULL,"Ar36","preceding"
171,35,0.0152954,0.0000919444,NULL,"Ar40","preceding"
172,35,0.000324229,0.00000986786,NULL,"Ar39","preceding"
173,35,0.0000171487,0.00000760865,NULL,"Ar38","preceding"
174,35,0.000172737,0.000013116,NULL,"Ar37","preceding"
175,35,0.000127611,0.00000654773,NULL,"Ar36","preceding"
176,36,0.00999289,0.00012768,NULL,"Ar40","preceding"
177,36,0.0000376581,0.000012543,NULL,"Ar39","preceding"
178,36,0.00000389181,0.00000769499,NULL,"Ar38","preceding"
179,36,0.000194208,0.00001528,NULL,"Ar37","preceding"
180,36,0.000118004,0.0000220967,NULL,"Ar36","preceding"
181,37,0.00999289,0.00012768,NULL,"Ar40","preceding"
182,37,0.0000376581,0.000012543,NULL,"Ar39","preceding"
183,37,0.00000389181,0.00000769499,NULL,"Ar38","preceding"
184,37,0.000194208,0.00001528,NULL,"Ar37","preceding"
185,37,0.000118004,0.0000220967,NULL,"Ar36","preceding"
